Product,Verdict,Buyer,Country,Wants,Posted,Contact,Source URL,Verifier note
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,Herbs importer from Colombia (name gated; ref ID 1073232451),Colombia,"Dried culinary/medicinal herbs incl. THYME (also oregano, mint, basil, chives, rosemary); 500 kg initial, ~9,000 kg/yr",2025-07-24,Gated — TradeKey 'Quote Now' (ref 1073232451),https://importer.tradekey.com/thyme-importer.html,"Live TradeKey thyme-buyers directory re-verifies the entry: thyme explicitly among wanted items, real quantities, dated Jul 24 2025, buy-side, Colombia (outside Iran) — the single most relevant thyme lead. Plausible not confirmed because the buyer name is anonymous/gated and the date is a directory 'updated' timestamp."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,Importer from Mexico (name gated),Mexico,Cumin seeds (dedicated buying request/RFQ),2025-10-15,Gated — Freshdi platform login,https://freshdi.com/request/Cumin-seeds-ZXi3Xj,"WebSearch confirms a dedicated Freshdi buying-request page titled for cumin seeds, importer from Mexico, dated Oct 15 2025 — buy-side, outside Iran, cumin-specific. Plausible not confirmed: the page returned 403 to me so I re-verified only the title/date via search, and the buyer name + contact are gated."
"Medicinal herbs & essential oils (Damask rose, cumin, thyme)",plausible,Importer from Chile (name gated),Chile,"Seeds incl. cumin (anise, badian, fennel, cumin, etc.)",2025-10-11,Gated — Freshdi platform login,https://freshdi.com/request/Seeds-anise-badian-fennel-cumin-etc--o6C4oZ,"WebSearch confirms a dedicated Freshdi buying-request page, importer from Chile, dated Oct 11 2025, cumin explicitly named — buy-side, outside Iran. Marginal: cumin is incidental within a generic HS-0909 seed bundle, buyer anonymous, page 403'd to me so only title/date re-verified."
Handwoven carpets & kilims,confirmed,Apg,Germany,Kilim rugs and carpets,"Jul 16, 2026",Via TradeKey 'Quote Now' inquiry form; direct email/phone behind platform login,https://importer.tradekey.com/germany/carpet.htm,"Re-opened the TradeKey Germany carpet IMPORTER buy-board. 'Apg', Germany, seeking 'Kilim rug and carpets', posted Jul 16, 2026 appears in the importers/buy-requests section (buy-side), exact product match (kilim + carpets), buyer outside Iran, date is 2026 (>=2025). Caveats: entity name is only a 3-letter stub and contact is gated behind TradeKey login; TradeKey posted-dates and lead liveness are not independently confirmable, but date + buy-side were re-verified from the source page."
Handwoven carpets & kilims,plausible,Trade Co. MIL,Germany,Kilim / Kelim flat-weave carpets & rugs,"Jun 09, 2026",Via TradeKey 'Quote Now' inquiry form; direct email/phone behind platform login,https://importer.tradekey.com/germany/carpet.htm,"Re-verified on the same TradeKey buy-board: 'Trade Co. MIL', Leipzig, Germany, seeking 'Kelim-Kilim', posted Jun 09, 2026 in the importers/buy-requests section (buy-side), kilim match, outside Iran, 2026 date. Marked plausible (not confirmed) because the product is listed only as a terse 'Kelim-Kilim' stub, the company name is generic, and the contact is fully gated with no way to confirm the lead is live."
Mazafati dates (Bam) + date cookies + ardeh (tahini),confirmed,Mohammed Mudassir Ali,"India (Hyderabad, Telangana)","Mazafati dates, 10,000 kg, marked Urgent (largest single lot in the set)",~July 2026 ('one month ago' as of 2026-08-04),+91-83****09 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live ExportersIndia page re-verified: Hyderabad buyer, product 'Mazafati dates', 10,000 kg, Urgent, posted 'one month ago' (=July 2026). Named individual + city, buy-side RFQ, in India. Exact product match. Only weakness: contact number masked behind login, but source URL is solid."
Mazafati dates (Bam) + date cookies + ardeh (tahini),confirmed,H.H. Brothers Fruit Traders,"India (Amroha, Uttar Pradesh)","Mazafati dates, 100 boxes (also buys Irani wet dates)",~July 2026 ('one month ago' as of 2026-08-04),+91-36****95 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page re-verified: registered fruit-trading FIRM (clear B2B reseller/importer, the strongest entity identity in the set), Amroha; 'Mazafati dates' 100 boxes plus 'Irani wet dates'; profile shows engagement (2 requirements, 1 reply). Buy-side, in India, dated within the last month. Contact masked but source solid."
Mazafati dates (Bam) + date cookies + ardeh (tahini),confirmed,Raghavendra Prabhu,"India (Salem, Tamil Nadu)","Mazafati dates, 100 kg, Urgent, recurring monthly",2026-06-23 (earlier identical post 2026-06-05),+91-99****33 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page re-verified two explicit-dated leads (June 23, 2026 marked 'Monthly'; June 5, 2026 'Only Once'), Salem, 'Mazafati Dates', 100 kg, Urgent. Explicit 2026 dates + repeat posting = steady buy-side demand. Named individual + city."
Mazafati dates (Bam) + date cookies + ardeh (tahini),confirmed,Faizal Ahammed,"India (Chennai, Tamil Nadu)","Mazafati dates, 100 kg",2026-06-17,+91-63****71 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page re-verified: Chennai, 'Mazafati Dates', 100 kg, explicit date June 17, 2026. Named individual + city, buy-side, in India, exact product match. Small quantity but genuine and current."
Mazafati dates (Bam) + date cookies + ardeh (tahini),confirmed,Jogeshwari Dash,India,"Fresh Mazafati Iranian Dates, 10 kg",2026-07-01,+91-63****36 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/fresh-dates.htm,"Live 'fresh-dates' page re-verified: product literally reads 'Fresh Mazafati Iranian Dates' (exact variety AND origin match, the best product wording in the set), explicit date 2026-07-01, India, buy-side. Weakness: small quantity (10 kg) and no city given, but product/origin fit is exact."
Mazafati dates (Bam) + date cookies + ardeh (tahini),plausible,Vrundan Bawankar,"India (Nagpur, Maharashtra)","Fresh Mazafati Dates (Khajoor), 3,500 kg",~July 2026 ('one month ago' as of 2026-08-04),+91-97****59 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page confirms Nagpur, 'Fresh Mazafati Dates (Khajoor)', 3,500 kg, buy-side. Named individual + city, serious bulk quantity, exact product. Downgraded to plausible only because the date is relative ('one month ago') rather than an explicit stamp I could pin."
Mazafati dates (Bam) + date cookies + ardeh (tahini),plausible,Azad,"India (Kochi, Kerala)","Mazafati dates, 1,000 kg, marked Urgent",~July 2026 ('one month ago' as of 2026-08-04),+91-77****57 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page confirms Kochi, 'Mazafati Dates', 1,000 kg, Urgent, buy-side. Specific product + city + solid quantity. Downgraded to plausible: identity is a single given name only ('Azad', no surname) and the date is relative, so entity specificity is weaker."
Mazafati dates (Bam) + date cookies + ardeh (tahini),plausible,inamdarsaad958,"India (Sangli, Maharashtra)","Original Mazafati dates, 1,000 kg, marked Urgent",~July 2026 ('one month ago' as of 2026-08-04),+91-75****39 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/mazafati-dates.htm,"Live page confirms Sangli, 'original mazafati dates', 1,000 kg, Urgent, buy-side. Specific product + city + solid quantity. Downgraded to plausible: identity is a username/handle (name-derived 'Inamdar Saad' + digits), not a full proper name, and the date is relative."
Mazafati dates (Bam) + date cookies + ardeh (tahini),plausible,Vinukonda Gopal,"India (Nalgonda, Telangana)","Fresh Dates, 1,000 kg, marked Urgent (variety NOT stated as Mazafati)",2026-07-06,+91-83****70 (full number behind ExportersIndia login),https://www.exportersindia.com/buyers/fresh-dates.htm,"Live 'fresh-dates' page re-verified: real named entity + city (Nalgonda), 1,000 kg, Urgent, explicit date 2026-07-06, buy-side, in India: passes all four hard gates. CAVEAT: the listing says only generic 'Fresh Dates', it does NOT name Mazafati, so the Mazafati fit is inferred, not stated. Treat as generic fresh-dates demand, not a confirmed Mazafati buyer."
Export tiles & ceramics + sanitary ware,confirmed,Housing Authority of the City of Los Angeles (HACLA),United States,"Supply and delivery of ceramic tiles and related supplies (firm fixed-price sealed bid, public housing procurement)",2026 (closing 2026-04-22),"Timothy Shay, timothy.shay@hacla.org; RAMP portal www.rampla.org",https://legacy.sba.gov/opportunity/supply-delivery-ceramic-tiles-related-supplies,"Re-verified on legacy.sba.gov: named public buyer HACLA invites sealed bids to SUPPLY ceramic tiles (Opportunity ID 228795), closing 4/22/2026 - genuine dated buy-side signal. Caveats: the closing date has now passed, and US sanctions make Iranian-origin supply impossible, so this is a demand reference, not an addressable buyer."
Export tiles & ceramics + sanitary ware,confirmed,"Sprava zeleznic, statni organizace (Czech Railway Administration)",Czech Republic,Framework agreement to SUPPLY ceramic tiles and cladding (CPV 44111900 'Ceramic flags') for station restrooms and hall repairs,2025-06-11 (deadline 2025-07-21),"https://zakazky.spravazeleznic.cz (e-submission portal); Sprava zeleznic, Prague",https://op.europa.eu/en/web/public-procurement/procurement-details/-/procurement/c35cd215-f8c7-4a17-a764-3377ea962415,"Re-verified on the EU Publications Office permalink: notice 'Dlazby a obklady', ref 34415/2025-SZ-GR-O8, a SUPPLIES framework for ceramic tiles/cladding by a named public buyer, published 11/06/2025. Cleanest signal of the set. Caveats: submission deadline (21/07/2025) has passed, and the EU buyer means Iranian-origin supply is impractical."
Export tiles & ceramics + sanitary ware,confirmed,"Glavstroy-SPB (OOO 'Glavstroy-SPB specializirovannyi zastroishchik', residential developer)",Russia (St. Petersburg),Supply/delivery of ceramic tiles and porcelain stoneware (plitki keramicheskoi i keramogranita) to St. Petersburg,2026-08-03 (deadline 2026-08-05),"Via b2b-center.ru marketplace (registration required to bid); Glavstroy-SPB, St. Petersburg",https://www.b2b-center.ru/search-tender/tendery-plitka-keramicheskaia/,"Re-verified on b2b-center.ru: tender #4548181, published 03.08.2026, deadline 05.08.2026, a buy-side pre-qualification to SUPPLY ceramic tiles + porcelain stoneware for named developer Glavstroy-SPB. Russia is a realistic destination for Iranian tile. Weakness: the individual tender page and direct contact sit behind platform registration."
Export tiles & ceramics + sanitary ware,plausible,"Qatar importer, contact 'Mr Zubair' (go4WorldBusiness buy-lead)",Qatar,"1x 20ft container of white ceramic bathroom fixtures - washbasins, toilet seats, faucets; CIF, LC",2026-02-23,'Mr Zubair' via go4WorldBusiness Qatar sanitary-ware listing (platform-gated),https://www.go4worldbusiness.com/buyers/qatar/sanitary-wares.html,"Live buy-lead re-confirmed on the go4WorldBusiness Qatar sanitary-ware page (date + ceramic buy-side import request). Qatar is a realistic GCC destination for Iranian export. Weakness: the buyer is a first-name-only, platform-gated contact - a real lead but not fully identifiable or directly reachable without paid platform access."
Export tiles & ceramics + sanitary ware,plausible,"Qatar importer, contact 'Abdullah' (go4WorldBusiness buy-lead)",Qatar,"1x 20ft container of ceramic sanitary ware - toilets/WCs, washbasins, bidets, cisterns, plus faucets/health faucets/accessories; CIF, LC",2026-06-08,'Abdullah' via go4WorldBusiness Qatar sanitary-ware listing (platform-gated),https://www.go4worldbusiness.com/buyers/qatar/sanitary-wares.html,Live buy-lead re-confirmed on the go4WorldBusiness Qatar page (date + core ceramic sanitary-ware import basket: WC/basin/bidet/cistern). Realistic GCC export market. Weakness: anonymized first-name platform contact whose identity is not independently verifiable.
Export tiles & ceramics + sanitary ware,plausible,Thulamela Local Municipality,South Africa,Supply and delivery of floor tiles at Tshiulungoma Stores (municipal tender ref N24/2025-2026),FY 2025/2026 (ref N24/2025-2026),"Thulamela Local Municipality SCM/tenders, https://www.thulamela.gov.za",https://www.tenders-sa.org/sa-tenders/tender/n24-2025-2026-supply-and-delivery-of-floor-tiles-at-tshiulungoma-stores-cmpr2fqse0e53kncw3hmazjoe,"Confirmed via multiple SA tender aggregators plus the municipality that tender N24/2025-2026 for supply/delivery of floor tiles is a real, current municipal buy-side tender; a prior 2024/25 ref at the same Tshiulungoma site was awarded, indicating a repeat tiling buyer. Could not retrieve the exact closing date/contact (primary source returned HTTP 403). Caveat: SA municipal tenders require CSD-registered local vendors, so direct foreign supply is impractical."
